ano,muestreo,departamento,estacion,coduer,sustrato,latitud,longitud,ca_cla,ca_cte,ca_cot,ca_hdd,ca_no3,ca_od,ca_ph,ca_po4,ca_sst,eval_cla,eval_cte,eval_cot,eval_hdd,eval_no3,eval_od,eval_ph,eval_sst,eval_po4,cot,cla,cte,hdd,no3,od,ph,po4,sst,icam,icam_calificacion,num_variables,confianza
2018,2018--2,ATLANTICO,Bocas de Ceniza (B),C08001003,Agua Estuarina,11.104833,-74.853778,84.38,23.94,,97.61,1,63.56,73.96,97.85,32.65,ADECUADA,PESIMA,,OPTIMA,PESIMA,ACEPTABLE,ADECUADA,INADECUADA,OPTIMA,,5.34,4900,0.24,234,5.41,7.31,42,242,36,INADECUADA,7,0.87
2018,2018--1,ATLANTICO,C. Balboa,C08002011,Agua Estuarina,10.98484201,-74.96558899,21.19,93.86,,98.2,,91.86,98.59,58.14,78.31,PESIMA,OPTIMA,,OPTIMA,,OPTIMA,OPTIMA,ADECUADA,ACEPTABLE,,96.7,79,0.18,-1,8.76,8.31,7,49.9,67.46,ACEPTABLE,6,0.78
2018,2018--2,ATLANTICO,C. Balboa,C08002011,Agua Estuarina,10.98484201,-74.96558899,47.18,82.66,,98.4,79.83,74.32,98.49,,55.49,INADECUADA,ADECUADA,,OPTIMA,ADECUADA,ADECUADA,OPTIMA,ACEPTABLE,,,22.7,540,0.16,12.9,9.42,8.25,-1,134,70.44,ADECUADA,6,0.75
2018,2018--1,ATLANTICO,C. Mallorquin-Playa,C08003042,Agua Estuarina,11.036472,-74.859806,22.16,,,95.31,1,77.7,95.95,1.66,81.01,PESIMA,,,OPTIMA,PESIMA,ADECUADA,OPTIMA,ADECUADA,PESIMA,,77.4,,0.47,6870,6.3,7.88,407,42.3,20.43,PESIMA,6,0.73
2018,2018--2,ATLANTICO,C. Mallorquin-Playa,C08003042,Agua Estuarina,11.036472,-74.859806,39.76,12.26,,96.91,1,93.02,96.62,1,77.62,INADECUADA,PESIMA,,OPTIMA,PESIMA,OPTIMA,OPTIMA,ADECUADA,PESIMA,,28.8,11000,0.31,497,7.25,7.93,469,51.9,19.55,PESIMA,7,0.87
2018,2018--1,ATLANTICO,Caño Dulce,C08002018,Agua Marina,10.943294,-75.031319,25,80.76,,99.05,,90.89,92.38,97.29,82.51,INADECUADA,ADECUADA,,OPTIMA,,OPTIMA,OPTIMA,ADECUADA,OPTIMA,,4.09,49,0.094,-1,7.09,8.05,3.6,14.7,90,OPTIMA,6,0.78
2018,2018--2,ATLANTICO,Caño Dulce,C08002018,Agua Marina,10.943294,-75.031319,25,23.65,,99.22,,79.45,91.87,97.94,87.05,INADECUADA,PESIMA,,OPTIMA,,ADECUADA,OPTIMA,ADECUADA,OPTIMA,,3.55,920,0.077,-1,6.15,8.07,2.9,9.86,70.84,ADECUADA,6,0.78
2018,2018--1,ATLANTICO,P. Pradomar,C08001007,Agua Marina,11.004019,-74.953881,47.73,1,,97.71,36.28,82.63,93.51,82.5,57.03,INADECUADA,PESIMA,,OPTIMA,INADECUADA,ADECUADA,OPTIMA,ACEPTABLE,ADECUADA,,2.39,5400,0.23,46.1,6.39,8,15.3,50.8,36.88,INADECUADA,7,0.87
2018,2018--2,ATLANTICO,P. Pradomar,C08001007,Agua Marina,11.004019,-74.953881,53.19,73.57,,,84.92,81.85,90.43,98.73,86.04,ACEPTABLE,ADECUADA,,,ADECUADA,ADECUADA,OPTIMA,ADECUADA,OPTIMA,,1.63,78,-1,15.5,6.33,8.12,2,10.9,85.06,ADECUADA,6,0.75
2018,2018--1,ATLANTICO,P. Puerto Colombia,C08002015,Agua Marina,10.990117,-74.959117,53.79,1,,96.31,35.78,85.03,93.71,70.16,50.6,ACEPTABLE,PESIMA,,OPTIMA,INADECUADA,ADECUADA,OPTIMA,ACEPTABLE,ADECUADA,,1.59,54000,0.37,46.4,6.58,7.99,23.2,62.9,35.55,INADECUADA,7,0.87
2018,2018--2,ATLANTICO,P. Puerto Colombia,C08002015,Agua Marina,10.990117,-74.959117,49.61,59.12,,,91.81,79.72,90.73,96.43,81.36,INADECUADA,ACEPTABLE,,,OPTIMA,ADECUADA,OPTIMA,ADECUADA,OPTIMA,,2.09,170,-1,9.76,6.17,8.11,4.48,16,80.97,ADECUADA,6,0.75
2018,2018--1,ATLANTICO,P. Salgar2,C08001005,Agua Marina,11.021056,-74.933833,50.48,17.75,,94.5,2.73,86.13,92.86,79,65.95,ACEPTABLE,PESIMA,,OPTIMA,PESIMA,ADECUADA,OPTIMA,ACEPTABLE,ADECUADA,,1.91,1300,0.55,62.1,6.67,8.03,17.6,36.2,45.56,INADECUADA,7,0.87
2018,2018--2,ATLANTICO,P. Salgar2,C08001005,Agua Marina,11.021056,-74.933833,33.14,59.12,,95.51,86.52,80.66,89.79,,86.14,INADECUADA,ACEPTABLE,,OPTIMA,ADECUADA,ADECUADA,ADECUADA,ADECUADA,,,2.88,170,0.45,14.4,6.24,8.14,-1,10.8,81.08,ADECUADA,6,0.75
